Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.2-10.0.0.1-1849-80-6,10.0.0.2,1849,10.0.0.1,80,6,01/07/2024 07:28:04 PM,10236,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.38882375928097,10236.0,0.0,10236.0,10236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,97.69441187964048,97.69441187964048,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1421-80-6,10.0.0.2,1421,10.0.0.1,80,6,01/07/2024 07:27:58 PM,10215,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.7905041605482,10215.0,0.0,10215.0,10215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,97.8952520802741,97.8952520802741,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.1-2990-80-6,10.0.0.3,2990,10.0.0.1,80,6,01/07/2024 07:28:07 PM,10117,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.68706138183256,10117.0,0.0,10117.0,10117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,98.84353069091628,98.84353069091628,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-2116-80-6,10.0.0.2,2116,10.0.0.1,80,6,01/07/2024 07:28:06 PM,397339,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033485260696786,397339.0,0.0,397339.0,397339.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.516742630348393,2.516742630348393,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-2094-80-6,10.0.0.2,2094,10.0.0.1,80,6,01/07/2024 07:28:06 PM,450434,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44016215472189,450434.0,0.0,450434.0,450434.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.220081077360945,2.220081077360945,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1866-80-6,10.0.0.2,1866,10.0.0.1,80,6,01/07/2024 07:28:04 PM,10438,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.60758766047135,10438.0,0.0,10438.0,10438.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,95.80379383023568,95.80379383023568,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-2077-80-6,10.0.0.2,2077,10.0.0.1,80,6,01/07/2024 07:28:06 PM,546457,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.659940306373603,546457.0,0.0,546457.0,546457.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.8299701531868016,1.8299701531868016,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1996-80-6,10.0.0.2,1996,10.0.0.1,80,6,01/07/2024 07:28:06 PM,796949,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5095708759280706,796949.0,0.0,796949.0,796949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.2547854379640353,1.2547854379640353,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.1-3054-80-6,10.0.0.3,3054,10.0.0.1,80,6,01/07/2024 07:28:39 PM,13910,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.78145219266713,13910.0,0.0,13910.0,13910.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,71.89072609633357,71.89072609633357,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1382-80-6,10.0.0.2,1382,10.0.0.1,80,6,01/07/2024 07:27:57 PM,10629,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.1644557343118,10629.0,0.0,10629.0,10629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,94.0822278671559,94.0822278671559,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
